location,Health event,count,mean,std,min,25%,50%,75%,max
India,CIN2+,10657.0,39.55256919953907,12.152031530174419,11.470120429992676,30.174877166748047,38.99104690551758,48.12803268432617,89.5040512084961
India,Cancer,10752.0,52.235235305059526,13.590753559963499,15.5,42.0,52.0,61.8125,96.5
India,Causal HPV infection,9404.0,32.330896427052316,9.421938956284999,10.75,24.25,32.5,40.0,49.75
Rwanda,CIN2+,15375.0,32.74269272328198,10.96449018346318,11.507259368896484,23.85468482971191,30.876039505004883,40.33944511413574,74.35717010498047
Rwanda,Cancer,15384.0,44.19179017160686,12.600844591188203,13.25,34.25,43.0,53.0,92.0
Rwanda,Causal HPV infection,14804.0,27.59412996487436,9.278809831496332,10.0,20.0,25.5,34.5,49.75
