location,sex,partner_count_bin,probability
rwanda,f,0,0.15116193013617527
rwanda,f,1,0.159746891651865
rwanda,f,2,0.13602723505032563
rwanda,f,3,0.11456483126110124
rwanda,f,4,0.09088217880402605
rwanda,f,5,0.07156601539372409
rwanda,f,6,0.05839253996447602
rwanda,f,7,0.047180284191829486
rwanda,f,8,0.03700414446417999
rwanda,f,9,0.02701302545885139
rwanda,f,10,0.021980461811722914
rwanda,f,11,0.016540852575488454
rwanda,f,12,0.012655417406749556
rwanda,f,13,0.009880106571936057
rwanda,f,14,0.008251924215512137
rwanda,f,15,0.006438721136767318
rwanda,f,16,0.005587625814091178
rwanda,f,17,0.0042184724689165185
rwanda,f,18,0.003737418590882179
rwanda,f,19,0.002960331557134399
rwanda,f,20,0.014209591474245116
india,f,0,0.9097191654194912
india,f,1,0.00986002288933885
india,f,2,0.00796725063826041
india,f,3,0.0065586759397834316
india,f,4,0.006910819614402677
india,f,5,0.0053261730786160755
india,f,6,0.00457786777005018
india,f,7,0.004093670217448719
india,f,8,0.002949203274936174
india,f,9,0.0031252751122457963
india,f,10,0.0031252751122457963
india,f,11,0.0024650057223347126
india,f,12,0.0015406285764591953
india,f,13,0.00189277225107844
india,f,14,0.0017607183730962233
india,f,15,0.001804736332423629
india,f,16,0.0017167004137688176
india,f,17,0.001276520820494762
india,f,18,0.0011884849018399507
india,f,19,0.001276520820494762
india,f,20,0.020864512721190245
