scenario,asr_cancer_incidence_2020,asr_cancer_incidence_low_2020,asr_cancer_incidence_high_2020
Screening 0.0,53.198901215059266,49.96261665996944,55.33439471126984
Screening 0.1,41.29738046764124,38.08786716764991,44.40374792356689
Screening 0.2,36.983354111179416,35.18266583170393,40.34306639297869
