location,sex,partner_count_bin,probability
india,f,0,0.9172037026187826
india,f,1,0.013167145116878552
india,f,2,0.011746440916280977
india,f,3,0.009900990099009901
india,f,4,0.007616146230007616
india,f,5,0.006122209854121507
india,f,6,0.004467162692600621
india,f,7,0.0030464584920030465
india,f,8,0.001991915167848146
india,f,9,0.0015085828109438163
india,f,10,0.0013328255902513328
india,f,11,0.000966664713808659
india,f,12,0.0008055539281738825
india,f,13,0.000937371843693245
india,f,14,0.0006005038373659851
india,f,15,0.00036616087644267384
india,f,16,0.000629796707481399
india,f,17,0.0006883824477122269
india,f,18,0.0004979787919620365
india,f,19,0.0004979787919620365
india,f,20,0.015906028472669753
