scenario,asr_cancer_incidence_2020,asr_cancer_incidence_low_2020,asr_cancer_incidence_high_2020
Screening 0.0,13.475435880147565,11.259935096601552,14.983447038966583
Screening 0.05,10.969915926643424,9.70461240645122,11.847042847765586
Screening 0.1,10.011706341440334,9.005474358375315,11.030030558625372
Screening 0.15,8.645805449058344,8.141526266865116,9.975763258930568
Screening 0.2,8.610968305021405,8.056501529429772,9.348727711259118
Screening 0.4,8.647153252152057,7.204668880658415,9.393963412712903
Screening 0.6,7.821626190997735,7.2814577507431615,8.852856525412347
