location,Health event,count,mean,std,min,25%,50%,75%,max
India,CIN2+,14053.0,37.46366539787315,11.48033652561113,11.35098934173584,28.368629455566406,36.424312591552734,45.214046478271484,78.96397399902344
India,Cancer,14184.0,50.10901367738297,13.255825353778134,14.5,40.5,49.25,59.25,96.0
India,Causal HPV infection,12905.0,30.959259976753195,8.896134421397964,11.0,23.5,30.5,38.0,49.75
Rwanda,CIN2+,13610.0,32.51277473857524,10.909872298675175,11.726703643798828,23.707058906555176,30.543577194213867,40.13354015350342,78.30715942382812
Rwanda,Cancer,13619.0,44.33216462295323,12.491121263778313,14.25,34.5,43.25,53.25,91.0
Rwanda,Causal HPV infection,13172.0,27.426966292134832,9.312261058751968,10.5,19.75,25.25,34.25,49.75
