scenario,asr_cancer_incidence_2020,asr_cancer_incidence_low_2020,asr_cancer_incidence_high_2020
Screening 0.0,17.17475173274866,15.859369095092095,19.45411429953714
Screening 0.05,15.032700607058123,14.444380257874723,17.838075699665836
Screening 0.1,14.276681715524873,13.470157172283367,16.039972965512902
Screening 0.15,12.770173154867754,11.83506060395692,14.417397196622526
Screening 0.2,12.389207248901094,11.731333333657043,14.033556214887422
Screening 0.4,10.946436379799838,10.086433049262354,11.71960722933629
Screening 0.6,9.99198773034515,8.768113911211389,11.161783954273167
