location,sex,partner_count_bin,probability
india,f,0,0.9101753980074324
india,f,1,0.00845901354888153
india,f,2,0.008039677834492531
india,f,3,0.007388984484578568
india,f,4,0.0053790650259554346
india,f,5,0.0054079847303960555
india,f,6,0.0045548534493977475
india,f,7,0.004178897291669679
india,f,8,0.0035137440895354048
india,f,9,0.0027039923651980277
india,f,10,0.002906430296282372
india,f,11,0.002111138424165305
india,f,12,0.0023280362074699595
india,f,13,0.002111138424165305
india,f,14,0.0020966785719449947
india,f,15,0.0013736859609294794
india,f,16,0.0015182844831325823
india,f,17,0.0016050435964544442
india,f,18,0.0012724669953873072
india,f,19,0.001127868473184204
india,f,20,0.021747617739346702
