scenario,asr_cancer_incidence_2020,asr_cancer_incidence_low_2020,asr_cancer_incidence_high_2020
Screening 0.0,67.09757374640411,64.29748795178631,70.40922897010526
Screening 0.1,48.467936856953095,47.7281611041857,48.939775905477525
Screening 0.2,39.398193267893944,37.655030660542515,40.57306342232748
